video_id,channel_id,title,published_at,age_days,views_per_day,engagement_rate,likes_per_1k,comments_per_1k,views_per_min,title_len,emoji_cnt,question_mark_flag,duration_sec,is_short,weekday,hour,topic_primary,topic_secondary,views_per_sub
cd_jj0IRmaA,UC7cs8q-gJRlGwj4A8OmCmXg,What is Data Collection? | Data Fundamentals for Beginners,2025-02-04 13:00:52+00:00,205.08366561506944,80.57687066612365,0.0379425113464447,36.97428139183056,0.9682299546142208,3503.5335689045937,58,0,True,283,False,1,13,career/interview,none,0.0144956140350877
OcG0B4ny1cE,UC7cs8q-gJRlGwj4A8OmCmXg,What are File Types? | Data Fundamentals for Beginners,2025-01-28 13:00:34+00:00,212.0838739484028,52.634836360617456,0.0360118247782854,35.20558989518947,0.8062348830959419,1730.6976744186045,54,0,True,387,False,1,13,career/interview,none,0.0097921052631578
hXpt8zj_ajc,UC7cs8q-gJRlGwj4A8OmCmXg,What are Data Types? | Data Fundamentals for Beginners,2025-01-21 13:00:55+00:00,219.0836308928472,55.3943713208572,0.0392221489782465,37.738958470665786,1.4831905075807514,2476.734693877551,54,0,True,294,False,1,13,career/interview,none,0.0106456140350877
ItZlTixh6Bs,UC7cs8q-gJRlGwj4A8OmCmXg,What are KPIs and Metrics? | Data Fundamental for Beginners,2025-01-14 13:00:34+00:00,226.0838739484028,98.33961003814916,0.0475869203436333,46.05766203391355,1.529258309719786,3855.433526011561,59,0,True,346,False,1,13,career/interview,none,0.0195026315789473
PEWMgtu-1e4,UC7cs8q-gJRlGwj4A8OmCmXg,What is Data? | Data Fundamentals for Beginners,2025-01-07 13:00:35+00:00,233.0838623743287,94.78991713513574,0.042681270933285,40.96134697202861,1.71992396125645,3186.6346153846152,47,0,True,416,False,1,13,career/interview,none,0.0193807017543859
hCmEfxy-BXg,UC7cs8q-gJRlGwj4A8OmCmXg,Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,2024-12-31 13:01:01+00:00,240.0835614484028,37.20787856572939,0.0417552893764692,34.143065039740286,7.612224336728982,256.20458891013385,65,0,True,2092,False,1,13,career/interview,none,0.0078359649122807
TtCBz1lutsY,UC7cs8q-gJRlGwj4A8OmCmXg,Most Commonly Asked Questions by Aspiring Data Analysts,2024-12-24 13:00:39+00:00,247.0838160780324,62.82483509602922,0.0503124396057463,47.9933002641242,2.319139341622109,1297.1866295264624,55,0,False,718,False,1,13,career/interview,none,0.0136166666666666
Ihmq-qeA5Pc,UC7cs8q-gJRlGwj4A8OmCmXg,My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,2024-12-17 13:30:12+00:00,254.06329524469908,34.38906825003993,0.0580290717637633,43.72210140780589,14.306970355957422,234.34063477872152,98,0,False,2237,False,1,13,career/interview,none,0.0076640350877192
wQQR60KtnFY,UC7cs8q-gJRlGwj4A8OmCmXg,"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",2024-12-10 05:00:49+00:00,261.417033670625,2708.587845473532,0.0412275040214893,39.87594464396932,1.351559377520051,501.18275764439414,98,0,False,84768,False,1,5,python,sql,0.6211149122807017
oHte3qFa-oY,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",2024-12-03 13:00:56+00:00,268.0836193187731,100.47611289509976,0.0291431541431541,27.65815265815266,1.485001485001485,265.07462686567163,86,0,False,6097,False,1,13,cloud/mlops,career/interview,0.0236280701754385
